Date/Time,Temp (C),Dew Point Temp (C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather
2012-01-09 03:00:00,-8.8,-13.2,70,0,25.0,102.11,Cloudy
2012-01-09 04:00:00,-8.5,-13.2,69,9,25.0,102.02,Cloudy
2012-01-09 05:00:00,-8.4,-12.7,71,11,25.0,101.93,Cloudy
2012-01-09 06:00:00,-7.7,-11.9,72,11,25.0,101.86,Cloudy
2012-01-09 07:00:00,-6.8,-11.0,72,15,25.0,101.8,Mostly Cloudy
2012-01-09 08:00:00,-5.9,-10.5,70,13,16.1,101.74,Snow
2012-01-09 09:00:00,-5.4,-9.2,75,11,12.9,101.68,Snow
2012-01-09 10:00:00,-4.8,-8.3,76,9,16.1,101.64,Snow
2012-01-09 11:00:00,-3.7,-7.2,77,7,24.1,101.54,Snow
2012-01-09 12:00:00,-2.5,-6.6,73,9,24.1,101.4,Cloudy
2012-01-09 13:00:00,-1.7,-5.8,74,7,24.1,101.27,Cloudy
2012-01-09 14:00:00,-1.4,-5.1,76,7,24.1,101.2,Cloudy
2012-01-09 15:00:00,-1.0,-5.1,74,9,24.1,101.13,Mostly Cloudy
2012-01-09 16:00:00,-1.3,-5.7,72,11,24.1,101.05,Mostly Cloudy
2012-01-09 17:00:00,-1.4,-5.8,72,15,24.1,100.96,Mostly Cloudy
2012-01-09 18:00:00,-1.0,-5.6,71,20,25.0,100.9,Mostly Cloudy
2012-01-09 19:00:00,-1.1,-5.8,70,19,25.0,100.83,Mostly Cloudy
2012-01-09 20:00:00,-1.5,-6.2,70,15,25.0,100.77,Mostly Cloudy
2012-01-09 21:00:00,-1.7,-6.3,71,11,25.0,100.64,Mostly Cloudy
2012-01-09 22:00:00,-0.3,-6.3,64,19,25.0,100.54,Mostly Cloudy
2012-01-09 23:00:00,-0.2,-6.1,64,17,25.0,100.45,Cloudy
2012-01-10 00:00:00,2.5,-5.2,57,30,25.0,100.38,Cloudy
2012-01-10 01:00:00,2.3,-3.4,66,35,25.0,100.28,Snow
2012-01-10 02:00:00,1.4,-2.5,75,19,6.4,100.23,Snow
2012-01-10 03:00:00,1.6,-2.0,77,28,25.0,100.16,Snow
2012-01-10 04:00:00,1.2,-1.7,81,26,25.0,100.07,Cloudy
2012-01-10 05:00:00,0.8,-1.2,86,30,9.7,100.02,"Rain,Snow"
2012-01-10 06:00:00,0.7,-1.2,87,30,8.0,100.04,Snow
2012-01-10 07:00:00,1.5,-0.7,85,20,8.0,100.08,Snow
2012-01-10 08:00:00,1.2,-1.1,85,24,16.1,100.11,Cloudy
2012-01-10 09:00:00,1.6,-0.8,84,17,19.3,100.23,Cloudy
2012-01-10 10:00:00,2.0,-0.9,81,24,24.1,100.27,Mostly Cloudy
2012-01-10 11:00:00,2.6,-1.1,77,22,24.1,100.29,Mainly Clear
2012-01-10 12:00:00,1.4,-3.1,72,30,24.1,100.32,Mostly Cloudy
2012-01-10 13:00:00,0.7,-5.4,64,26,24.1,100.36,Mostly Cloudy
2012-01-10 14:00:00,-0.2,-6.2,64,26,24.1,100.45,Mainly Clear
2012-01-10 15:00:00,-1.4,-7.9,61,30,24.1,100.65,Mainly Clear
2012-01-10 16:00:00,-3.1,-10.9,55,30,24.1,100.81,Mostly Cloudy
2012-01-10 17:00:00,-4.0,-12.0,54,17,24.1,100.91,Mostly Cloudy
2012-01-10 18:00:00,-4.9,-12.7,54,15,25.0,101.04,Mostly Cloudy
2012-01-10 19:00:00,-5.7,-13.8,53,15,25.0,101.15,Mostly Cloudy
2012-01-10 20:00:00,-6.4,-14.3,53,13,25.0,101.24,Mostly Cloudy
2012-01-10 21:00:00,-6.6,-13.6,57,9,25.0,101.32,Mostly Cloudy
2012-01-10 22:00:00,-7.3,-14.7,55,13,25.0,101.34,Mostly Cloudy
2012-01-10 23:00:00,-8.6,-15.6,57,19,25.0,101.44,Mostly Cloudy
2012-01-11 00:00:00,-9.5,-16.8,55,17,25.0,101.43,Mostly Cloudy
2012-01-11 01:00:00,-10.7,-17.8,56,17,25.0,101.49,Clear
2012-01-11 02:00:00,-12.0,-18.9,56,19,25.0,101.57,Clear
2012-01-11 03:00:00,-12.7,-19.4,57,19,25.0,101.64,Clear
2012-01-11 04:00:00,-13.4,-20.1,57,17,25.0,101.66,Clear
2012-01-11 05:00:00,-13.9,-21.0,55,19,25.0,101.66,Mainly Clear
2012-01-11 06:00:00,-14.4,-21.1,57,20,25.0,101.72,Mainly Clear
2012-01-11 07:00:00,-14.4,-21.0,57,13,25.0,101.77,Mostly Cloudy
2012-01-11 08:00:00,-14.7,-21.4,57,15,24.1,101.8,Mostly Cloudy
2012-01-11 09:00:00,-14.3,-20.8,58,15,24.1,101.81,Mostly Cloudy
2012-01-11 10:00:00,-13.9,-20.9,55,11,19.3,101.89,Cloudy
2012-01-11 11:00:00,-13.4,-20.8,54,15,24.1,101.78,Mostly Cloudy
2012-01-11 12:00:00,-12.7,-20.4,53,17,24.1,101.68,Cloudy
2012-01-11 13:00:00,-12.2,-20.0,52,19,24.1,101.63,Mostly Cloudy
2012-01-11 14:00:00,-11.4,-19.4,52,20,24.1,101.56,Mostly Cloudy
2012-01-11 15:00:00,-11.6,-19.9,50,20,24.1,101.61,Mostly Cloudy
2012-01-11 16:00:00,-11.8,-20.9,47,20,24.1,101.6,Mostly Cloudy
2012-01-11 17:00:00,-11.9,-20.1,51,26,24.1,101.56,Mostly Cloudy
2012-01-11 18:00:00,-12.0,-19.9,52,24,25.0,101.51,Mostly Cloudy
2012-01-11 19:00:00,-11.8,-19.2,54,30,25.0,101.43,Mostly Cloudy
2012-01-11 20:00:00,-11.2,-18.1,57,24,25.0,101.4,Cloudy
2012-01-11 21:00:00,-11.2,-16.5,65,19,25.0,101.32,Cloudy
2012-01-11 22:00:00,-10.8,-16.0,65,22,25.0,101.29,Cloudy
2012-01-11 23:00:00,-10.7,-15.7,67,20,25.0,101.19,Mostly Cloudy
2012-01-12 00:00:00,-10.0,-15.2,66,19,25.0,101.17,Mostly Cloudy
2012-01-12 01:00:00,-9.8,-15.2,65,24,25.0,101.13,Mostly Cloudy
2012-01-12 02:00:00,-9.4,-15.0,64,26,25.0,101.08,Cloudy
2012-01-12 03:00:00,-9.0,-14.7,63,33,25.0,101.02,Cloudy
2012-01-12 04:00:00,-8.5,-14.1,64,22,25.0,100.93,Cloudy
2012-01-12 05:00:00,-8.0,-13.7,64,30,25.0,100.81,Cloudy
2012-01-12 06:00:00,-7.6,-13.1,65,28,25.0,100.76,Cloudy
2012-01-12 07:00:00,-7.3,-12.7,65,28,16.1,100.69,Snow Showers
2012-01-12 08:00:00,-7.1,-11.3,72,33,6.4,100.61,Snow
2012-01-12 09:00:00,-6.8,-10.5,75,33,3.2,100.54,Snow
2012-01-12 10:00:00,-6.2,-9.6,77,35,4.8,100.46,Snow
2012-01-12 11:00:00,-6.0,-9.5,76,32,2.0,100.35,Snow
2012-01-12 12:00:00,-5.8,-8.9,79,32,4.8,100.22,Snow
2012-01-12 13:00:00,-5.8,-8.6,81,33,1.2,100.09,Snow
2012-01-12 14:00:00,-5.7,-8.5,81,28,1.2,99.97,Snow
2012-01-12 15:00:00,-5.2,-7.6,83,26,0.8,99.9,Moderate Snow
2012-01-12 16:00:00,-4.9,-7.3,83,33,0.6,99.88,Moderate Snow
2012-01-12 17:00:00,-5.1,-7.6,83,33,1.0,99.83,Snow
2012-01-12 18:00:00,-5.4,-8.1,81,35,1.2,99.76,Snow
2012-01-12 19:00:00,-5.0,-7.6,82,30,4.0,99.72,Snow
2012-01-12 20:00:00,-5.0,-7.8,81,28,6.4,99.64,Snow
2012-01-12 21:00:00,-4.7,-7.6,80,24,6.4,99.56,Snow
2012-01-12 22:00:00,-4.1,-6.8,81,26,25.0,99.47,Snow
2012-01-12 23:00:00,-4.6,-7.0,83,28,3.2,99.4,Snow
2012-01-13 00:00:00,-5.1,-7.5,83,28,2.4,99.3,Snow
2012-01-13 01:00:00,-5.0,-7.7,81,24,4.8,99.24,Snow
2012-01-13 02:00:00,-4.8,-7.5,81,22,25.0,99.22,Snow
2012-01-13 03:00:00,-4.5,-6.9,83,19,4.8,99.19,"Freezing Drizzle,Snow"
2012-01-13 04:00:00,-5.0,-7.4,83,24,11.3,99.13,Cloudy
2012-01-13 05:00:00,-5.1,-7.7,82,20,12.9,99.06,Cloudy
2012-01-13 06:00:00,-5.4,-7.8,83,22,16.1,98.94,Cloudy
2012-01-13 07:00:00,-5.1,-7.7,82,22,16.1,98.84,Cloudy
2012-01-13 08:00:00,-5.1,-7.5,83,26,8.0,98.69,Freezing Rain
2012-01-13 09:00:00,-5.0,-7.3,84,32,4.8,98.56,"Freezing Rain,Snow Grains"
2012-01-13 10:00:00,-4.8,-7.2,83,26,12.9,98.44,Freezing Drizzle
2012-01-13 11:00:00,-4.8,-7.3,83,28,9.7,98.22,Freezing Rain
2012-01-13 12:00:00,-4.8,-7.5,81,24,2.0,98.07,Snow
2012-01-13 13:00:00,-4.9,-7.3,83,20,1.2,97.99,Snow
2012-01-13 14:00:00,-4.8,-7.0,85,6,2.0,98.07,Snow
2012-01-13 15:00:00,-4.3,-6.5,85,13,8.0,98.1,Snow
2012-01-13 16:00:00,-3.7,-6.0,84,11,6.4,98.16,Snow
2012-01-13 17:00:00,-2.9,-4.8,87,15,1.6,98.23,Snow
2012-01-13 18:00:00,-1.7,-3.3,89,26,16.1,98.32,Snow
2012-01-13 19:00:00,-2.5,-4.5,86,33,2.0,98.6,Snow
2012-01-13 20:00:00,-3.2,-5.1,87,32,2.0,98.89,Snow
2012-01-13 21:00:00,-4.8,-7.9,79,37,4.8,99.09,"Snow,Blowing Snow"
2012-01-13 22:00:00,-5.5,-10.1,70,32,12.9,99.28,Snow
2012-01-13 23:00:00,-7.6,-11.2,75,35,9.7,99.51,"Snow,Blowing Snow"
2012-01-14 00:00:00,-8.9,-13.1,72,39,9.7,99.67,"Snow,Blowing Snow"
2012-01-14 01:00:00,-9.7,-14.3,69,24,12.9,99.85,Snow
2012-01-14 02:00:00,-11.2,-15.5,70,28,9.7,100.01,"Snow,Blowing Snow"
2012-01-14 03:00:00,-12.0,-16.2,71,24,8.0,100.16,"Snow,Blowing Snow"
2012-01-14 04:00:00,-13.4,-18.9,63,20,16.1,100.26,Snow
2012-01-14 05:00:00,-14.3,-19.8,63,24,25.0,100.39,Cloudy
2012-01-14 06:00:00,-15.2,-20.6,63,24,25.0,100.6,Cloudy
2012-01-14 07:00:00,-16.8,-22.2,63,26,25.0,100.73,Mostly Cloudy
2012-01-14 08:00:00,-17.9,-23.5,62,20,24.1,100.84,Mostly Cloudy
2012-01-14 09:00:00,-18.0,-23.6,61,19,24.1,100.97,Cloudy
2012-01-14 10:00:00,-18.0,-23.9,60,22,24.1,101.08,Mostly Cloudy
2012-01-14 11:00:00,-17.8,-23.9,59,20,24.1,101.14,Mostly Cloudy
2012-01-14 12:00:00,-17.5,-23.8,58,20,48.3,101.16,Mostly Cloudy
2012-01-14 13:00:00,-17.1,-24.1,55,17,48.3,101.18,Mainly Clear
2012-01-14 14:00:00,-16.7,-23.4,56,17,48.3,101.2,Mostly Cloudy
2012-01-14 15:00:00,-16.7,-23.4,56,22,48.3,101.24,Mostly Cloudy
2012-01-14 16:00:00,-16.7,-24.3,52,19,24.1,101.3,Mostly Cloudy
2012-01-14 17:00:00,-17.4,-24.4,54,13,25.0,101.36,Mostly Cloudy
2012-01-14 18:00:00,-17.7,-24.3,56,20,25.0,101.46,Mainly Clear
